"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
88,0.003,0.48,0.233,0.903,0.452,0.998,0.301,0.949,0.24,0.899,0.029,0.545,0.246,0.905,0.119,0.737,-0.014,0.451,0.128,0.742,-0.001,0.489,-0.075,0.302,0.032,0.551,-0.052,0.363,0.531,1,0.007,0.501,-0.073,0.309,0.019,0.533,-0.052,0.355
89,0.008,0.498,0.237,0.962,0.447,1,0.348,0.997,0.225,0.964,0.041,0.604,0.294,0.989,0.113,0.781,0.008,0.495,0.128,0.806,0.003,0.483,-0.029,0.391,0.048,0.611,0.024,0.545,0.512,1,0.018,0.529,0.014,0.523,0.028,0.563,0.009,0.497
90,-0.042,0.344,0.113,0.754,0.416,1,0.28,0.98,0.105,0.725,-0.014,0.43,0.173,0.903,0.053,0.63,-0.034,0.36,0.049,0.616,-0.039,0.357,-0.087,0.237,0,0.464,-0.049,0.328,0.428,1,-0.029,0.388,-0.056,0.306,-0.022,0.401,-0.043,0.348
91,-0.021,0.419,0.207,0.884,0.525,1,0.361,0.994,0.183,0.85,0.04,0.576,0.291,0.968,0.111,0.733,0.001,0.482,0.112,0.722,-0.011,0.443,-0.091,0.27,0.009,0.478,-0.033,0.386,0.541,0.999,-0.013,0.433,-0.046,0.368,0,0.462,-0.048,0.356
92,-0.062,0.27,0.127,0.801,0.297,0.984,0.235,0.968,0.098,0.738,-0.023,0.397,0.176,0.902,0.011,0.482,-0.04,0.347,0.023,0.527,-0.049,0.311,-0.109,0.157,-0.058,0.288,-0.074,0.248,0.331,0.995,-0.064,0.264,-0.082,0.234,-0.062,0.27,-0.056,0.28
93,0.002,0.471,0.21,0.935,0.493,0.999,0.367,0.997,0.186,0.906,0.057,0.664,0.288,0.982,0.112,0.776,0.016,0.512,0.123,0.798,0.013,0.511,-0.065,0.282,0.017,0.52,-0.013,0.408,0.506,1,-0.006,0.453,-0.027,0.373,0.012,0.515,-0.02,0.414
94,-0.117,0.166,0.097,0.727,0.386,0.995,0.269,0.97,0.031,0.547,-0.047,0.324,0.168,0.868,-0.021,0.412,-0.093,0.228,-0.015,0.421,-0.082,0.251,-0.174,0.063,-0.093,0.231,-0.142,0.118,0.384,0.997,-0.098,0.175,-0.137,0.126,-0.116,0.18,-0.12,0.164
95,-0.076,0.28,0.171,0.845,0.494,1,0.292,0.988,0.117,0.755,-0.017,0.432,0.212,0.923,0.032,0.571,-0.056,0.315,0.034,0.568,-0.063,0.3,-0.126,0.147,-0.053,0.32,-0.083,0.252,0.464,0.999,-0.069,0.285,-0.083,0.241,-0.06,0.31,-0.082,0.25
96,-0.026,0.423,0.192,0.868,0.504,1,0.314,0.967,0.144,0.78,0.009,0.489,0.249,0.937,0.067,0.647,-0.022,0.438,0.073,0.66,-0.036,0.388,-0.119,0.202,-0.003,0.473,-0.074,0.302,0.51,0.999,-0.032,0.393,-0.086,0.272,-0.013,0.441,-0.074,0.286
97,-0.118,0.205,0.11,0.735,0.318,0.985,0.219,0.916,0.061,0.627,-0.059,0.306,0.157,0.835,-0.013,0.423,-0.105,0.226,0.004,0.482,-0.106,0.223,-0.171,0.101,-0.093,0.242,-0.132,0.164,0.348,0.99,-0.11,0.212,-0.149,0.139,-0.103,0.206,-0.137,0.156
98,0.113,0.724,0.212,0.906,0.513,1,0.398,0.995,0.264,0.959,0.136,0.779,0.288,0.961,0.206,0.906,0.115,0.738,0.215,0.907,0.1,0.718,-0.002,0.465,0.099,0.721,0.042,0.569,0.583,1,0.062,0.622,0.033,0.554,0.077,0.659,0.04,0.574
99,0.057,0.598,0.221,0.904,0.619,1,0.4,0.993,0.202,0.876,0.104,0.705,0.293,0.959,0.163,0.82,0.075,0.634,0.172,0.817,0.076,0.636,0.006,0.483,0.095,0.69,0.063,0.615,0.571,1,0.07,0.653,0.046,0.576,0.095,0.689,0.051,0.591
100,0.016,0.531,0.173,0.879,0.453,1,0.297,0.982,0.183,0.899,0.032,0.562,0.207,0.913,0.137,0.819,0,0.468,0.131,0.8,-0.004,0.46,-0.08,0.27,0.032,0.566,-0.05,0.345,0.525,1,0.013,0.511,-0.066,0.309,0.001,0.478,-0.038,0.371
101,0.041,0.591,0.193,0.878,0.609,1,0.311,0.966,0.207,0.862,0.073,0.637,0.239,0.909,0.154,0.811,0.048,0.601,0.153,0.798,0.039,0.572,-0.037,0.387,0.091,0.682,0,0.482,0.578,1,0.058,0.617,-0.004,0.475,0.088,0.685,0.002,0.492
102,-0.007,0.46,0.187,0.848,0.547,1,0.335,0.981,0.212,0.889,0.025,0.55,0.244,0.938,0.126,0.772,0.016,0.516,0.127,0.755,0,0.485,-0.085,0.273,0.003,0.491,-0.041,0.387,0.542,1,-0.008,0.462,-0.056,0.349,0,0.477,-0.033,0.394
103,-0.039,0.388,0.139,0.773,0.479,1,0.237,0.912,0.123,0.764,-0.009,0.441,0.153,0.82,0.077,0.66,-0.025,0.42,0.077,0.674,-0.037,0.39,-0.105,0.228,-0.01,0.455,-0.085,0.272,0.506,1,-0.019,0.427,-0.086,0.266,-0.014,0.44,-0.08,0.294
104,0.029,0.557,0.218,0.898,0.479,0.999,0.295,0.969,0.227,0.888,0.055,0.621,0.242,0.918,0.135,0.793,0.029,0.562,0.143,0.793,0.026,0.545,-0.038,0.396,0.042,0.596,-0.015,0.457,0.504,1,0.01,0.511,-0.039,0.391,0.037,0.564,-0.023,0.429
105,0.078,0.674,0.294,0.975,0.626,0.999,0.404,0.996,0.368,0.998,0.08,0.68,0.342,0.988,0.255,0.962,0.054,0.608,0.249,0.956,0.049,0.599,-0.021,0.421,0.09,0.71,0.024,0.53,0.625,1,0.068,0.655,0.022,0.529,0.089,0.7,0.014,0.498
106,0.008,0.498,0.177,0.882,0.521,0.999,0.308,0.967,0.18,0.867,0.05,0.61,0.219,0.929,0.106,0.725,-0.004,0.457,0.105,0.739,0.013,0.497,-0.065,0.31,0.022,0.528,-0.035,0.383,0.503,1,0.005,0.477,-0.05,0.34,0.019,0.523,-0.031,0.392
107,-0.028,0.392,0.164,0.852,0.424,1,0.298,0.983,0.115,0.772,0.016,0.517,0.215,0.935,0.074,0.679,-0.015,0.429,0.067,0.654,-0.023,0.407,-0.095,0.222,-0.006,0.44,-0.05,0.343,0.451,1,-0.026,0.396,-0.049,0.341,-0.009,0.451,-0.041,0.354
108,-0.043,0.372,0.119,0.741,0.417,1,0.235,0.921,0.119,0.759,-0.023,0.422,0.159,0.823,0.068,0.656,-0.037,0.371,0.062,0.633,-0.059,0.331,-0.138,0.164,-0.044,0.359,-0.107,0.214,0.459,1,-0.058,0.327,-0.104,0.222,-0.056,0.336,-0.088,0.267
109,-0.099,0.213,0.135,0.809,0.356,0.998,0.226,0.941,0.057,0.627,-0.039,0.36,0.172,0.887,-0.012,0.436,-0.071,0.277,-0.018,0.429,-0.081,0.263,-0.157,0.096,-0.092,0.216,-0.112,0.174,0.336,0.992,-0.102,0.206,-0.123,0.166,-0.103,0.197,-0.111,0.177
110,0.039,0.576,0.173,0.868,0.609,1,0.369,0.992,0.186,0.866,0.077,0.661,0.248,0.936,0.155,0.826,0.047,0.609,0.146,0.806,0.034,0.58,-0.054,0.326,0.052,0.602,0.004,0.479,0.601,0.999,0.025,0.536,-0.006,0.449,0.042,0.575,0.003,0.477
111,0.017,0.52,0.163,0.842,0.578,1,0.347,0.981,0.212,0.907,0.039,0.574,0.227,0.927,0.139,0.788,0.014,0.518,0.154,0.817,0.015,0.51,-0.091,0.255,0.005,0.487,-0.038,0.38,0.564,1,-0.02,0.423,-0.051,0.349,-0.006,0.447,-0.034,0.385
112,0.03,0.549,0.231,0.923,0.75,1,0.429,0.997,0.254,0.937,0.055,0.605,0.308,0.983,0.196,0.885,0.037,0.564,0.199,0.878,0.025,0.542,-0.054,0.323,0.072,0.666,0.012,0.495,0.684,0.999,0.029,0.534,-0.015,0.434,0.053,0.604,-0.012,0.431
113,0.073,0.651,0.199,0.869,0.7,1,0.384,0.983,0.261,0.924,0.064,0.616,0.261,0.934,0.225,0.91,0.05,0.601,0.207,0.872,0.038,0.563,-0.028,0.395,0.108,0.704,0.01,0.489,0.691,1,0.077,0.652,-0.001,0.484,0.1,0.688,-0.001,0.468
114,0.052,0.601,0.247,0.933,0.605,1,0.346,0.988,0.244,0.937,0.075,0.66,0.258,0.935,0.181,0.861,0.043,0.577,0.188,0.863,0.034,0.558,-0.036,0.388,0.073,0.661,0.016,0.524,0.596,1,0.047,0.59,-0.009,0.462,0.06,0.635,-0.004,0.474
115,-0.045,0.336,0.17,0.857,0.42,0.998,0.335,0.993,0.124,0.763,0.041,0.584,0.26,0.96,0.041,0.586,-0.013,0.421,0.056,0.634,-0.021,0.404,-0.101,0.174,-0.026,0.391,-0.05,0.324,0.426,1,-0.051,0.315,-0.066,0.263,-0.034,0.36,-0.056,0.316
116,-0.019,0.445,0.187,0.877,0.43,0.999,0.294,0.979,0.209,0.908,0.004,0.49,0.23,0.923,0.108,0.743,-0.032,0.394,0.118,0.762,-0.029,0.401,-0.089,0.266,0.01,0.51,-0.056,0.334,0.464,1,-0.011,0.454,-0.058,0.319,0.003,0.495,-0.061,0.336
117,0.004,0.48,0.193,0.876,0.594,1,0.336,0.98,0.201,0.894,0.028,0.528,0.212,0.92,0.124,0.77,0.014,0.508,0.127,0.774,0.006,0.489,-0.07,0.298,0.019,0.523,-0.015,0.444,0.531,1,0.002,0.479,-0.029,0.414,0.01,0.485,-0.021,0.42
118,0.047,0.606,0.281,0.932,0.446,0.994,0.347,0.962,0.267,0.921,0.073,0.653,0.294,0.942,0.153,0.777,0.041,0.577,0.157,0.797,0.038,0.573,-0.03,0.422,0.035,0.571,0.019,0.53,0.489,0.995,0.014,0.52,0.022,0.547,0.034,0.561,0.004,0.496
119,-0.055,0.331,0.112,0.762,0.317,0.976,0.246,0.95,0.114,0.755,-0.026,0.39,0.172,0.869,0.041,0.575,-0.053,0.352,0.039,0.572,-0.054,0.336,-0.093,0.225,-0.037,0.372,-0.076,0.282,0.377,0.998,-0.036,0.37,-0.078,0.292,-0.052,0.332,-0.076,0.272
120,-0.004,0.469,0.193,0.877,0.432,1,0.294,0.961,0.19,0.887,0.034,0.564,0.22,0.923,0.109,0.72,0.008,0.496,0.098,0.72,-0.003,0.463,-0.055,0.354,0.037,0.564,-0.015,0.445,0.467,1,0.012,0.511,-0.03,0.407,0.029,0.546,-0.017,0.44
121,-0.017,0.421,0.159,0.852,0.447,1,0.302,0.987,0.135,0.806,0.034,0.556,0.21,0.924,0.064,0.649,0.01,0.485,0.074,0.677,0.006,0.489,-0.079,0.244,-0.026,0.392,-0.017,0.428,0.415,0.999,-0.037,0.377,-0.032,0.379,-0.016,0.436,-0.029,0.376
122,-0.005,0.46,0.16,0.833,0.525,1,0.333,0.983,0.153,0.839,0.044,0.593,0.226,0.92,0.103,0.752,0.009,0.495,0.108,0.725,0.002,0.475,-0.092,0.24,-0.017,0.417,-0.047,0.355,0.507,1,-0.034,0.39,-0.059,0.31,-0.014,0.453,-0.051,0.343
123,0.006,0.495,0.165,0.842,0.474,1,0.301,0.982,0.161,0.837,0.038,0.567,0.221,0.922,0.11,0.739,0.006,0.481,0.12,0.742,0.013,0.502,-0.045,0.368,0.035,0.569,-0.02,0.417,0.51,1,0.022,0.52,-0.015,0.438,0.024,0.517,-0.015,0.436
124,0.015,0.516,0.204,0.933,0.65,1,0.383,1,0.195,0.925,0.038,0.591,0.28,0.982,0.152,0.866,0.013,0.517,0.15,0.854,0.007,0.486,-0.099,0.165,0.01,0.501,-0.024,0.396,0.549,1,-0.026,0.387,-0.052,0.322,-0.01,0.453,-0.037,0.344
125,0.021,0.525,0.204,0.896,0.521,1,0.318,0.976,0.199,0.878,0.027,0.556,0.246,0.938,0.136,0.787,0.004,0.494,0.135,0.79,0.008,0.504,-0.047,0.354,0.048,0.605,-0.01,0.457,0.541,1,0.02,0.527,-0.022,0.42,0.031,0.548,-0.009,0.448
126,-0.022,0.409,0.187,0.9,0.414,0.998,0.305,0.99,0.159,0.862,0.032,0.559,0.24,0.96,0.087,0.721,-0.016,0.42,0.083,0.708,-0.019,0.417,-0.115,0.157,-0.027,0.397,-0.072,0.255,0.437,1,-0.048,0.32,-0.087,0.23,-0.058,0.296,-0.063,0.267
127,-0.068,0.273,0.12,0.8,0.491,0.999,0.326,0.992,0.102,0.745,-0.003,0.45,0.225,0.948,0.048,0.616,-0.057,0.277,0.053,0.611,-0.054,0.308,-0.119,0.155,-0.017,0.41,-0.074,0.251,0.521,1,-0.037,0.361,-0.089,0.234,-0.045,0.336,-0.078,0.254
128,-0.034,0.371,0.132,0.801,0.416,0.998,0.301,0.981,0.135,0.809,0.011,0.502,0.197,0.92,0.067,0.649,-0.026,0.398,0.069,0.662,-0.036,0.374,-0.095,0.247,-0.008,0.443,-0.054,0.306,0.432,1,-0.044,0.324,-0.065,0.305,-0.035,0.374,-0.051,0.325
129,-0.012,0.433,0.101,0.707,0.37,0.991,0.207,0.921,0.125,0.777,-0.005,0.448,0.138,0.804,0.088,0.695,-0.021,0.398,0.094,0.716,-0.014,0.42,-0.113,0.165,-0.027,0.377,-0.1,0.215,0.405,0.998,-0.041,0.351,-0.109,0.184,-0.043,0.347,-0.065,0.284
130,-0.017,0.444,0.216,0.886,0.466,0.997,0.329,0.976,0.187,0.852,0.024,0.531,0.274,0.943,0.112,0.738,-0.011,0.446,0.102,0.697,-0.029,0.405,-0.092,0.275,0.007,0.504,-0.058,0.35,0.486,0.999,-0.014,0.451,-0.074,0.311,0.003,0.476,-0.065,0.32
131,-0.015,0.439,0.205,0.881,0.451,0.996,0.306,0.973,0.166,0.834,0.039,0.575,0.24,0.923,0.092,0.669,0.003,0.486,0.089,0.703,-0.012,0.445,-0.088,0.253,0.01,0.497,-0.052,0.339,0.499,1,-0.01,0.449,-0.061,0.332,0.012,0.509,-0.05,0.354
132,0.026,0.564,0.19,0.918,0.462,1,0.299,0.984,0.195,0.906,0.04,0.604,0.223,0.937,0.125,0.795,0.016,0.539,0.123,0.813,0.016,0.529,-0.051,0.315,0.026,0.556,-0.016,0.436,0.463,1,0.011,0.506,-0.023,0.409,0.015,0.514,-0.025,0.424
133,-0.006,0.446,0.169,0.885,0.498,1,0.329,0.988,0.161,0.86,0.023,0.524,0.228,0.954,0.101,0.732,0.003,0.47,0.101,0.741,-0.013,0.434,-0.061,0.291,0.021,0.53,-0.007,0.459,0.496,1,-0.002,0.467,-0.024,0.398,0.001,0.475,0.003,0.472
134,-0.025,0.402,0.175,0.868,0.293,0.973,0.251,0.963,0.169,0.856,-0.013,0.426,0.204,0.908,0.08,0.678,-0.042,0.342,0.095,0.72,-0.044,0.374,-0.113,0.196,-0.044,0.352,-0.093,0.227,0.384,0.994,-0.069,0.303,-0.105,0.235,-0.061,0.311,-0.091,0.243
135,0.001,0.477,0.141,0.813,0.47,0.999,0.304,0.988,0.166,0.843,0.016,0.508,0.209,0.927,0.104,0.745,-0.006,0.449,0.123,0.779,-0.005,0.445,-0.076,0.262,0.012,0.503,-0.048,0.335,0.514,1,-0.013,0.429,-0.058,0.314,-0.016,0.431,-0.037,0.367
136,-0.049,0.355,0.219,0.899,0.368,0.992,0.291,0.952,0.178,0.842,0,0.475,0.245,0.937,0.073,0.655,-0.041,0.371,0.079,0.651,-0.043,0.372,-0.094,0.256,-0.036,0.4,-0.061,0.317,0.422,0.997,-0.055,0.357,-0.074,0.304,-0.041,0.381,-0.062,0.327
137,0.034,0.547,0.276,0.932,0.427,0.997,0.357,0.984,0.279,0.944,0.076,0.645,0.322,0.961,0.183,0.831,0.032,0.564,0.185,0.841,0.014,0.518,-0.066,0.327,0.035,0.555,-0.029,0.414,0.519,0.999,0.023,0.539,-0.028,0.412,0.047,0.593,-0.032,0.408
138,0.019,0.532,0.153,0.854,0.449,1,0.309,0.986,0.172,0.882,0.057,0.641,0.22,0.95,0.116,0.788,0.022,0.524,0.12,0.791,0.02,0.527,-0.037,0.374,0.039,0.587,-0.014,0.435,0.477,1,0.015,0.519,-0.011,0.449,0.02,0.544,-0.015,0.432
139,0.075,0.627,0.206,0.886,0.584,1,0.317,0.974,0.237,0.921,0.067,0.649,0.219,0.912,0.18,0.843,0.068,0.629,0.188,0.882,0.068,0.648,0.002,0.478,0.1,0.703,0.041,0.59,0.562,1,0.083,0.677,0.028,0.54,0.102,0.721,0.04,0.563
140,0.057,0.613,0.215,0.918,0.413,0.998,0.317,0.976,0.232,0.919,0.07,0.65,0.244,0.953,0.163,0.86,0.046,0.596,0.173,0.845,0.036,0.576,-0.058,0.328,0.023,0.537,-0.013,0.437,0.471,0.999,-0.015,0.443,-0.021,0.423,0.012,0.5,-0.018,0.425
141,-0.056,0.316,0.181,0.882,0.343,0.993,0.294,0.976,0.132,0.821,-0.009,0.428,0.23,0.944,0.048,0.591,-0.055,0.329,0.058,0.645,-0.054,0.33,-0.134,0.128,-0.067,0.266,-0.097,0.208,0.363,0.997,-0.079,0.249,-0.097,0.198,-0.07,0.278,-0.105,0.201
142,-0.021,0.416,0.194,0.872,0.37,0.983,0.304,0.964,0.159,0.827,0.022,0.526,0.245,0.929,0.079,0.666,-0.014,0.439,0.084,0.66,-0.016,0.438,-0.094,0.236,-0.035,0.375,-0.051,0.334,0.408,0.991,-0.047,0.355,-0.063,0.311,-0.049,0.353,-0.05,0.344
143,-0.009,0.46,0.189,0.859,0.453,0.998,0.324,0.978,0.173,0.847,0.03,0.559,0.253,0.929,0.066,0.641,-0.002,0.479,0.083,0.691,-0.007,0.461,-0.079,0.293,0.005,0.48,-0.029,0.413,0.473,1,-0.004,0.485,-0.039,0.378,-0.011,0.449,-0.021,0.419
144,0.074,0.62,0.191,0.85,0.474,0.999,0.317,0.967,0.242,0.913,0.078,0.659,0.231,0.898,0.174,0.835,0.056,0.579,0.179,0.852,0.051,0.585,-0.026,0.423,0.053,0.581,0.009,0.498,0.508,1,0.028,0.53,0.003,0.483,0.059,0.608,-0.005,0.453
145,-0.045,0.354,0.187,0.899,0.421,1,0.29,0.987,0.175,0.867,-0.01,0.447,0.233,0.941,0.095,0.721,-0.035,0.364,0.086,0.71,-0.045,0.337,-0.129,0.136,-0.046,0.331,-0.085,0.252,0.427,0.999,-0.068,0.279,-0.091,0.228,-0.055,0.316,-0.093,0.219
146,0.02,0.534,0.189,0.88,0.458,0.999,0.332,0.985,0.188,0.9,0.065,0.636,0.243,0.946,0.119,0.78,0.024,0.536,0.117,0.742,0.009,0.501,-0.033,0.397,0.057,0.613,-0.017,0.445,0.511,1,0.036,0.557,-0.017,0.434,0.045,0.601,-0.012,0.448
147,-0.117,0.216,0.104,0.679,0.199,0.841,0.112,0.725,0.099,0.678,-0.099,0.257,0.092,0.674,-0.002,0.449,-0.118,0.239,0.013,0.495,-0.125,0.213,-0.178,0.151,-0.098,0.265,-0.168,0.159,0.28,0.908,-0.114,0.243,-0.17,0.168,-0.105,0.263,-0.138,0.202
148,0.028,0.553,0.197,0.866,0.589,1,0.378,0.993,0.247,0.922,0.053,0.614,0.26,0.933,0.172,0.846,0.015,0.505,0.158,0.82,0.021,0.522,-0.069,0.317,0.059,0.616,-0.027,0.42,0.624,1,0.026,0.542,-0.03,0.407,0.047,0.584,-0.023,0.436
149,0.029,0.543,0.245,0.917,0.538,1,0.347,0.992,0.241,0.927,0.049,0.6,0.273,0.937,0.151,0.778,0.015,0.516,0.152,0.802,0.005,0.484,-0.056,0.346,0.061,0.633,-0.012,0.45,0.565,1,0.025,0.545,-0.027,0.426,0.056,0.625,-0.025,0.437
150,-0.018,0.427,0.159,0.834,0.422,0.998,0.32,0.982,0.171,0.86,0.026,0.534,0.242,0.93,0.1,0.715,-0.008,0.452,0.094,0.702,-0.009,0.443,-0.079,0.272,0.005,0.48,-0.04,0.359,0.474,1,-0.021,0.414,-0.052,0.317,0,0.481,-0.041,0.362
151,0.043,0.557,0.23,0.9,0.521,0.999,0.331,0.976,0.251,0.915,0.064,0.618,0.258,0.944,0.166,0.807,0.045,0.583,0.172,0.827,0.035,0.547,-0.022,0.442,0.065,0.628,0.022,0.543,0.522,1,0.057,0.591,0.017,0.518,0.067,0.63,0.016,0.525
152,-0.092,0.224,0.139,0.821,0.371,0.996,0.271,0.964,0.09,0.724,-0.03,0.397,0.187,0.891,0,0.463,-0.063,0.297,0.012,0.505,-0.07,0.27,-0.136,0.147,-0.051,0.326,-0.082,0.255,0.406,0.998,-0.057,0.31,-0.092,0.24,-0.082,0.248,-0.08,0.253
153,-0.022,0.391,0.193,0.93,0.588,1,0.412,0.999,0.19,0.898,0.04,0.598,0.302,0.985,0.121,0.81,-0.003,0.446,0.11,0.784,-0.017,0.408,-0.098,0.199,-0.004,0.448,-0.02,0.4,0.559,1,-0.027,0.398,-0.027,0.403,-0.013,0.432,-0.027,0.39
154,0.147,0.803,0.225,0.876,0.621,1,0.372,0.984,0.261,0.93,0.161,0.809,0.244,0.921,0.248,0.909,0.15,0.784,0.241,0.899,0.147,0.78,0.065,0.608,0.171,0.832,0.095,0.666,0.624,1,0.153,0.796,0.092,0.669,0.173,0.799,0.091,0.695
155,-0.041,0.353,0.196,0.913,0.484,1,0.318,0.994,0.124,0.797,0.03,0.544,0.225,0.959,0.057,0.632,-0.01,0.449,0.057,0.634,-0.02,0.413,-0.077,0.271,0.008,0.488,-0.018,0.426,0.467,1,-0.007,0.455,-0.035,0.355,-0.001,0.465,-0.02,0.413
156,-0.02,0.414,0.144,0.791,0.434,0.999,0.313,0.988,0.125,0.792,0.027,0.545,0.231,0.945,0.089,0.709,-0.012,0.436,0.083,0.676,-0.014,0.425,-0.096,0.21,-0.022,0.41,-0.059,0.3,0.466,1,-0.036,0.374,-0.073,0.269,-0.029,0.393,-0.063,0.302
157,0.001,0.48,0.173,0.857,0.455,0.999,0.331,0.985,0.164,0.826,0.047,0.599,0.236,0.919,0.1,0.699,0.011,0.499,0.097,0.707,0.005,0.496,-0.061,0.334,0.016,0.522,-0.026,0.421,0.506,0.998,-0.005,0.464,-0.028,0.409,0.008,0.492,-0.026,0.411
158,-0.057,0.325,0.162,0.834,0.258,0.965,0.198,0.894,0.132,0.801,-0.036,0.367,0.166,0.832,0.044,0.594,-0.065,0.282,0.057,0.628,-0.067,0.292,-0.133,0.16,-0.061,0.318,-0.11,0.203,0.331,0.986,-0.075,0.291,-0.109,0.214,-0.064,0.289,-0.101,0.213
159,-0.003,0.467,0.142,0.814,0.492,0.999,0.315,0.995,0.139,0.837,0.019,0.532,0.214,0.92,0.096,0.742,-0.009,0.418,0.095,0.725,-0.022,0.414,-0.097,0.237,-0.001,0.457,-0.064,0.291,0.482,1,-0.03,0.386,-0.069,0.253,-0.022,0.415,-0.051,0.327
160,0.014,0.508,0.217,0.916,0.733,1,0.429,0.998,0.248,0.922,0.041,0.577,0.296,0.976,0.17,0.843,0.008,0.491,0.164,0.857,-0.003,0.468,-0.078,0.279,0.053,0.609,-0.023,0.415,0.656,1,0.009,0.498,-0.029,0.395,0.022,0.535,-0.019,0.42
161,0.034,0.565,0.199,0.845,0.531,0.999,0.34,0.964,0.197,0.854,0.06,0.617,0.261,0.918,0.131,0.767,0.038,0.572,0.149,0.782,0.029,0.56,-0.047,0.373,0.059,0.635,-0.036,0.407,0.579,0.999,0.02,0.533,-0.033,0.398,0.066,0.639,-0.031,0.4
162,-0.002,0.47,0.213,0.887,0.449,0.997,0.27,0.946,0.205,0.887,0.024,0.55,0.231,0.906,0.12,0.739,-0.026,0.411,0.129,0.772,-0.016,0.435,-0.105,0.232,0.006,0.496,-0.065,0.314,0.487,0.997,-0.022,0.425,-0.077,0.283,0.002,0.481,-0.071,0.293
163,0.014,0.5,0.212,0.9,0.609,1,0.372,0.993,0.267,0.958,0.044,0.581,0.264,0.971,0.187,0.88,0.015,0.511,0.178,0.868,0.003,0.484,-0.051,0.343,0.06,0.637,-0.011,0.451,0.604,1,0.023,0.531,-0.026,0.397,0.039,0.583,-0.027,0.413
164,0.022,0.539,0.201,0.884,0.555,1,0.403,0.994,0.213,0.915,0.066,0.639,0.288,0.973,0.159,0.861,0.031,0.562,0.146,0.81,0.022,0.546,-0.088,0.246,-0.006,0.465,-0.001,0.461,0.52,1,-0.026,0.405,-0.005,0.467,-0.019,0.417,-0.025,0.395
165,-0.048,0.329,0.162,0.842,0.463,1,0.281,0.97,0.119,0.785,-0.007,0.456,0.207,0.912,0.061,0.617,-0.036,0.369,0.066,0.654,-0.046,0.339,-0.114,0.185,-0.023,0.399,-0.087,0.249,0.465,1,-0.048,0.323,-0.082,0.254,-0.051,0.334,-0.072,0.27
166,-0.05,0.349,0.172,0.836,0.41,0.994,0.32,0.98,0.147,0.803,-0.007,0.449,0.239,0.93,0.072,0.657,-0.057,0.341,0.074,0.658,-0.056,0.325,-0.106,0.214,-0.018,0.427,-0.08,0.29,0.459,0.999,-0.043,0.362,-0.074,0.291,-0.033,0.368,-0.075,0.275
167,-0.007,0.448,0.208,0.881,0.489,1,0.366,0.989,0.2,0.877,0.045,0.596,0.276,0.952,0.119,0.739,0.012,0.501,0.109,0.716,0.006,0.486,-0.062,0.322,0.03,0.548,-0.016,0.439,0.535,1,0.008,0.493,-0.024,0.422,0.009,0.504,-0.014,0.452
168,-0.008,0.443,0.171,0.885,0.469,1,0.331,0.994,0.174,0.871,0.036,0.58,0.24,0.954,0.1,0.717,-0.005,0.441,0.1,0.739,-0.007,0.445,-0.096,0.221,-0.023,0.404,-0.049,0.323,0.433,1,-0.042,0.349,-0.04,0.357,-0.026,0.391,-0.049,0.333
169,-0.061,0.308,0.163,0.845,0.304,0.984,0.197,0.894,0.16,0.813,-0.041,0.358,0.167,0.853,0.056,0.61,-0.07,0.307,0.07,0.651,-0.086,0.249,-0.122,0.183,-0.039,0.362,-0.119,0.172,0.4,0.997,-0.036,0.376,-0.117,0.17,-0.06,0.304,-0.09,0.245
170,-0.045,0.359,0.19,0.873,0.349,0.988,0.263,0.951,0.142,0.794,-0.009,0.459,0.22,0.908,0.059,0.628,-0.041,0.37,0.067,0.653,-0.054,0.333,-0.11,0.225,-0.031,0.411,-0.093,0.249,0.405,1,-0.05,0.349,-0.103,0.232,-0.035,0.392,-0.099,0.224
171,0.097,0.681,0.295,0.914,0.605,1,0.381,0.976,0.312,0.937,0.108,0.67,0.316,0.947,0.24,0.862,0.092,0.664,0.249,0.872,0.101,0.645,0.013,0.505,0.144,0.742,0.032,0.546,0.674,1,0.114,0.698,0.034,0.552,0.145,0.761,0.036,0.554
172,-0.002,0.478,0.235,0.903,0.454,0.996,0.378,0.992,0.184,0.843,0.053,0.604,0.298,0.949,0.105,0.697,0.004,0.491,0.101,0.701,-0.012,0.453,-0.089,0.261,-0.002,0.471,-0.037,0.393,0.493,1,-0.017,0.442,-0.059,0.351,0,0.487,-0.054,0.352
173,-0.06,0.311,0.198,0.891,0.543,1,0.378,0.994,0.15,0.821,0.024,0.529,0.276,0.954,0.064,0.629,-0.036,0.368,0.08,0.664,-0.035,0.363,-0.114,0.169,-0.019,0.4,-0.071,0.28,0.55,1,-0.04,0.372,-0.075,0.29,-0.026,0.408,-0.066,0.293
174,0.031,0.568,0.177,0.873,0.448,0.999,0.299,0.985,0.172,0.879,0.057,0.639,0.215,0.933,0.118,0.79,0.034,0.56,0.12,0.782,0.031,0.557,-0.022,0.407,0.047,0.584,0.023,0.538,0.447,1,0.021,0.524,0.023,0.534,0.049,0.593,0.017,0.526
