"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
928,0.089,0.7,0.231,0.946,0.703,1,0.416,0.998,0.27,0.961,0.101,0.725,0.297,0.98,0.224,0.933,0.076,0.675,0.224,0.945,0.073,0.656,-0.017,0.412,0.106,0.749,0.03,0.532,0.68,1,0.077,0.677,0.02,0.521,0.08,0.683,0.023,0.529
929,0.063,0.653,0.244,0.93,0.477,0.997,0.365,0.997,0.243,0.943,0.107,0.761,0.299,0.975,0.169,0.867,0.082,0.688,0.165,0.85,0.072,0.659,-0.039,0.387,0.034,0.56,-0.002,0.472,0.474,0.999,0.012,0.501,-0.012,0.454,0.028,0.551,-0.002,0.476
930,-0.022,0.439,0.188,0.827,0.522,0.999,0.357,0.981,0.216,0.886,0.025,0.537,0.267,0.913,0.119,0.724,-0.017,0.442,0.121,0.725,-0.03,0.416,-0.096,0.256,0.01,0.504,-0.065,0.325,0.523,1,-0.022,0.423,-0.076,0.311,0.001,0.472,-0.057,0.348
931,0.03,0.562,0.237,0.925,0.56,0.999,0.357,0.985,0.245,0.925,0.068,0.622,0.286,0.943,0.154,0.811,0.037,0.576,0.176,0.832,0.029,0.554,-0.039,0.384,0.064,0.64,-0.001,0.461,0.599,1,0.048,0.615,-0.024,0.425,0.065,0.628,-0.016,0.436
932,-0.019,0.432,0.174,0.867,0.376,0.997,0.245,0.928,0.192,0.869,0.013,0.517,0.197,0.898,0.094,0.707,-0.022,0.41,0.092,0.701,-0.03,0.399,-0.118,0.225,-0.024,0.402,-0.078,0.287,0.431,1,-0.04,0.362,-0.084,0.264,-0.04,0.373,-0.073,0.278
933,-0.027,0.395,0.151,0.847,0.346,0.993,0.276,0.959,0.137,0.8,0.017,0.505,0.199,0.893,0.069,0.658,-0.011,0.436,0.074,0.677,-0.021,0.412,-0.08,0.271,-0.007,0.461,-0.057,0.311,0.42,0.999,-0.013,0.431,-0.066,0.299,-0.029,0.382,-0.057,0.312
934,-0.024,0.421,0.227,0.942,0.379,0.995,0.276,0.968,0.223,0.899,-0.013,0.44,0.241,0.937,0.126,0.761,-0.043,0.348,0.119,0.773,-0.049,0.336,-0.126,0.172,-0.025,0.406,-0.104,0.225,0.428,0.995,-0.047,0.35,-0.101,0.216,-0.026,0.395,-0.095,0.239
935,-0.003,0.467,0.177,0.861,0.386,0.994,0.287,0.971,0.156,0.802,0.061,0.614,0.23,0.924,0.095,0.709,0.004,0.478,0.096,0.684,0.008,0.5,-0.057,0.34,0.019,0.517,0.005,0.488,0.412,0.996,-0.009,0.457,-0.007,0.466,0.018,0.514,-0.01,0.453
936,0.033,0.561,0.219,0.913,0.612,1,0.356,0.995,0.218,0.9,0.059,0.602,0.274,0.961,0.16,0.817,0.049,0.58,0.169,0.858,0.037,0.571,-0.022,0.425,0.087,0.675,0.013,0.51,0.587,1,0.056,0.605,0.012,0.495,0.064,0.62,0.007,0.495
937,-0.006,0.471,0.209,0.92,0.483,1,0.302,0.983,0.19,0.887,0.041,0.61,0.234,0.928,0.108,0.755,0.006,0.498,0.096,0.726,-0.005,0.458,-0.094,0.239,0,0.482,-0.041,0.359,0.458,0.999,-0.03,0.397,-0.066,0.317,-0.017,0.427,-0.047,0.339
938,-0.085,0.246,0.12,0.785,0.269,0.976,0.228,0.932,0.084,0.685,-0.034,0.373,0.167,0.882,-0.006,0.454,-0.064,0.288,0.011,0.494,-0.077,0.268,-0.136,0.127,-0.085,0.254,-0.095,0.221,0.295,0.978,-0.095,0.212,-0.096,0.223,-0.082,0.237,-0.103,0.203
939,-0.016,0.418,0.145,0.838,0.409,0.999,0.302,0.979,0.153,0.839,0.038,0.575,0.22,0.912,0.097,0.699,0.001,0.467,0.095,0.701,-0.018,0.434,-0.083,0.254,0.005,0.481,-0.058,0.317,0.47,1,-0.008,0.434,-0.058,0.341,-0.012,0.439,-0.032,0.38
940,0.004,0.478,0.177,0.901,0.474,1,0.338,0.991,0.137,0.814,0.054,0.611,0.247,0.961,0.089,0.715,0.022,0.539,0.086,0.696,0.011,0.496,-0.08,0.266,-0.003,0.455,-0.036,0.368,0.439,0.999,-0.031,0.364,-0.042,0.364,-0.021,0.419,-0.048,0.346
941,-0.107,0.187,0.126,0.77,0.375,0.997,0.255,0.963,0.072,0.662,-0.045,0.336,0.188,0.89,-0.006,0.448,-0.082,0.25,0.003,0.472,-0.09,0.215,-0.133,0.144,-0.048,0.349,-0.09,0.213,0.418,0.999,-0.077,0.265,-0.102,0.207,-0.081,0.253,-0.084,0.25
942,-0.014,0.426,0.192,0.914,0.339,1,0.247,0.973,0.211,0.96,-0.008,0.45,0.205,0.945,0.117,0.792,-0.024,0.402,0.111,0.817,-0.03,0.371,-0.114,0.146,-0.04,0.333,-0.086,0.225,0.366,0.999,-0.055,0.293,-0.089,0.199,-0.057,0.288,-0.083,0.232
943,0.073,0.658,0.18,0.855,0.53,1,0.351,0.984,0.207,0.905,0.104,0.726,0.26,0.936,0.167,0.836,0.077,0.672,0.18,0.845,0.069,0.65,-0.041,0.377,0.042,0.585,0.018,0.521,0.518,1,0.006,0.486,0.006,0.484,0.033,0.565,0.004,0.492
944,-0.049,0.359,0.167,0.834,0.373,0.99,0.27,0.96,0.144,0.808,0.001,0.482,0.209,0.918,0.073,0.646,-0.047,0.377,0.071,0.641,-0.053,0.354,-0.12,0.18,-0.045,0.355,-0.095,0.27,0.413,0.996,-0.058,0.329,-0.101,0.244,-0.041,0.357,-0.09,0.274
