"","ModMeanVal","ModMinVal","ModMaxVal","Age","AncVal","MCCAbsRateMean","MCCAbsRateMin","MCCAbsRateMax","MeanAbsRate_Mean","MeanLower95Rate","MeanUpper95Rate","MinAbsRate_Mean","MinLower95Rate","MinUpper95Rate","MaxAbsRate_Mean","MaxLower95Rate","MaxUpper95Rate"
"I_97.5_3",40.4,39.4666656494141,41.3333343505859,36.377216747,33.4096940273039,0.192161649455289,0.166504536733413,0.217818762177165,0.19101844648752,0.089810603059259,0.306112240790414,0.165655317290413,0.0757729508523398,0.274339307034517,0.216381575684627,0.111613206998956,0.347798952214135
"I_97.5_4",32.1444447835286,24.7,40.6333343505859,24.849978592,27.2088562862388,0.198615402384238,0.100960098494673,0.540220910639691,0.222363274305765,0.0596447034366296,0.433250657284846,0.10218562029152,0.0409821628361549,0.179881596733442,0.592445907122473,0.249139351368163,1.06312334210891
"I_97.5_6",26.7111114501953,18.866667175293,41.3333343505859,40.048744197,31.9044396917434,0.129675183221779,0.325547599003793,0.235435463655532,0.0833822153730044,0.00956424651732885,0.175022700897875,0.292125555556038,0.138201406092279,0.461488890958997,0.305834075504658,0.1403476552856,0.517247997823397
"I_97.5_8",41.3333343505859,41.3333343505859,41.3333343505859,36.377216747,33.4096940273039,0.217818762177165,0.217818762177165,0.217818762177165,0.211342923132547,0.113387153963862,0.35341831102209,0.211342923132547,0.113387153963862,0.35341831102209,0.211342923132547,0.113387153963862,0.35341831102209
"I_97.5_11",18.233332824707,18.233332824707,18.233332824707,15.25131929,27.6110167480278,0.614876899827907,0.614876899827907,0.614876899827907,0.633472861493411,0.224538272032652,1.17302890979127,0.633472861493411,0.224538272032652,1.17302890979127,0.633472861493411,0.224538272032652,1.17302890979127
"I_97.5_12",10.5,10.5,10.5,11.389449832,22.2251257904647,1.02947253497018,1.02947253497018,1.02947253497018,1.17109926211787,0.507702968441859,2.14802760641079,1.17109926211787,0.507702968441859,2.14802760641079,1.17109926211787,0.507702968441859,2.14802760641079
"I_97.5_13",33.6333343505859,33.6333343505859,33.6333343505859,32.96695621,29.7274573188627,0.118478545815473,0.118478545815473,0.118478545815473,0.12376117631277,0.0546540917804454,0.21839047837377,0.12376117631277,0.0546540917804454,0.21839047837377,0.12376117631277,0.0546540917804454,0.21839047837377
"I_97.5_16",35.1666656494141,35.1666656494141,35.1666656494141,15.25131929,27.6110167480278,0.495409528691754,0.495409528691754,0.495409528691754,0.496882940509172,0.130241303281214,1.00868668087706,0.496882940509172,0.130241303281214,1.00868668087706,0.496882940509172,0.130241303281214,1.00868668087706
"G_97.5_1",35.84,32.8,37.3666656494141,16.688376425,39.4128346274753,0.214091205548491,0.396253923034054,0.122610428117855,0.246791412818103,0.0634562200424473,0.534009271926668,0.456691497238016,0.132876233911034,0.984021205135576,0.141381133642775,0.0332724067770768,0.311023556507469
"G_97.5_3",34.4466665649414,20.533332824707,39.3333343505859,9.97839808500001,36.2128560793913,0.177001308166377,1.57134673532964,0.312723369484073,0.206461198458571,0.0616840957911734,0.416136308409896,1.8640932253422,0.484526116175429,3.91116402179422,0.375735504176434,0.0857584101921559,0.799149789306367
